probe_cc,test_type,measurement_date,probe_asn,url_category,measurement_outcome,dns_mismatch_score,http_body_length_diff,tcp_connect_ms,resolver_match,header_mismatch
DE,web_connectivity,2022-01-05 00:13:15.039007,AS25581,ANON,ok,0.1346,0.7944,102.94,1,0
TH,web_connectivity,2022-01-05 04:35:40.268053,AS10526,POLR,ok,0.0109,0.266,12.02,1,0
IN,whatsapp,2022-01-05 08:58:05.497099,AS58945,HUMR,ok,0.1012,1.466,217.17,1,0
RU,tcp_connect,2022-01-05 13:20:30.726145,AS15631,POLR,anomaly,0.3847,0.247,85.57,1,1
TH,web_connectivity,2022-01-05 17:42:55.955191,AS50368,SRCH,ok,0.0096,1.5338,16.0,1,1
RU,http_header_field_manipulation,2022-01-05 22:05:21.184236,AS58653,COMM,anomaly,0.8115,0.5336,67.26,0,1
VN,http_header_field_manipulation,2022-01-06 02:27:46.413282,AS47656,ECON,confirmed,0.724,0.0676,368.69,0,0
TR,web_connectivity,2022-01-06 06:50:11.642328,AS13266,REL,ok,0.0328,0.1616,5.0,1,0
DE,web_connectivity,2022-01-06 11:12:36.871374,AS59099,ECON,ok,0.2226,1.2988,167.15,1,0
US,web_connectivity,2022-01-06 15:35:02.100420,AS29606,COMM,ok,0.1189,0.2687,140.49,1,0
IN,tcp_connect,2022-01-06 19:57:27.329465,AS28647,NEWS,ok,0.0968,0.9575,40.13,1,0
PK,web_connectivity,2022-01-07 00:19:52.558511,AS59099,COMM,anomaly,0.6937,1.3222,433.81,1,0
TH,web_connectivity,2022-01-07 04:42:17.787557,AS34008,NEWS,ok,0.0254,0.7551,78.9,1,0
RU,web_connectivity,2022-01-07 09:04:43.016603,AS15061,COMT,ok,0.4305,1.2662,160.96,1,0
MM,telegram,2022-01-07 13:27:08.245649,AS32671,HUMR,ok,0.1194,0.146,70.81,1,0
IR,tcp_connect,2022-01-07 17:49:33.474694,AS49977,HUMR,confirmed,0.4957,0.2056,34.07,0,0
RU,dns_consistency,2022-01-07 22:11:58.703740,AS33842,NEWS,ok,0.3137,0.5423,72.49,1,0
ID,facebook_messenger,2022-01-08 02:34:23.932786,AS51222,REL,ok,0.0213,0.0976,254.9,1,0
DE,web_connectivity,2022-01-08 06:56:49.161832,AS58842,COMT,ok,0.0637,0.7785,111.95,1,0
IR,http_header_field_manipulation,2022-01-08 11:19:14.390878,AS38379,REL,ok,0.0022,1.2609,151.22,1,0
BR,web_connectivity,2022-01-08 15:41:39.619923,AS52615,COMT,ok,0.131,0.2293,71.4,1,0
CN,web_connectivity,2022-01-08 20:04:04.848969,AS9939,LGBT,confirmed,0.7001,0.1501,8.48,0,1
DE,whatsapp,2022-01-09 00:26:30.078015,AS24775,REL,ok,0.0295,1.3205,118.13,1,0
NG,tcp_connect,2022-01-09 04:48:55.307061,AS23227,COMT,ok,0.1194,0.6037,26.59,1,1
AZ,web_connectivity,2022-01-09 09:11:20.536107,AS36237,NEWS,failure,0.1287,1.0152,372.15,0,1
RU,web_connectivity,2022-01-09 13:33:45.765153,AS6970,ECON,ok,0.044,0.5581,5.0,1,0
CN,web_connectivity,2022-01-09 17:56:10.994198,AS46987,ANON,anomaly,0.7891,2.7811,189.38,0,1
RU,tcp_connect,2022-01-09 22:18:36.223244,AS53867,REL,ok,0.1912,1.166,88.63,1,0
RU,web_connectivity,2022-01-10 02:41:01.452290,AS25884,COMT,ok,0.12,0.6922,5.0,1,0
TH,http_header_field_manipulation,2022-01-10 07:03:26.681336,AS41085,NEWS,confirmed,0.8909,0.4347,75.83,0,0
TH,whatsapp,2022-01-10 11:25:51.910382,AS17131,SRCH,ok,0.0378,0.7608,92.27,1,1
PK,web_connectivity,2022-01-10 15:48:17.139427,AS39530,SRCH,ok,0.1449,1.1684,66.32,1,0
NG,whatsapp,2022-01-10 20:10:42.368473,AS33842,HUMR,ok,0.0167,0.7783,72.15,0,0
BY,web_connectivity,2022-01-11 00:33:07.597519,AS17131,HUMR,ok,0.3743,0.7467,250.74,1,0
RU,http_header_field_manipulation,2022-01-11 04:55:32.826565,AS22895,NEWS,ok,0.0357,0.3582,18.99,1,0
IR,tcp_connect,2022-01-11 09:17:58.055611,AS58945,SRCH,ok,0.2679,0.022,419.24,1,0
TR,web_connectivity,2022-01-11 13:40:23.284656,AS41369,REL,ok,0.4548,0.761,5.0,1,0
BY,web_connectivity,2022-01-11 18:02:48.513702,AS41085,COMT,anomaly,,0.4727,,0,1
DE,telegram,2022-01-11 22:25:13.742748,AS28647,ANON,ok,0.501,0.9198,94.91,1,0
US,web_connectivity,2022-01-12 02:47:38.971794,AS24775,COMT,ok,0.0128,0.8378,377.05,1,0
CN,dns_consistency,2022-01-12 07:10:04.200840,AS20553,HUMR,anomaly,0.7264,0.8851,281.13,0,1
NG,web_connectivity,2022-01-12 11:32:29.429885,AS15061,SRCH,ok,0.2575,0.8337,142.95,1,0
KZ,dns_consistency,2022-01-12 15:54:54.658931,AS32635,HUMR,anomaly,0.5042,0.5517,198.63,1,0
TR,dns_consistency,2022-01-12 20:17:19.887977,AS40389,COMT,anomaly,0.7558,1.1112,92.0,1,1
NG,dns_consistency,2022-01-13 00:39:45.117023,AS47656,HUMR,ok,0.0086,1.0582,281.11,1,0
TR,web_connectivity,2022-01-13 05:02:10.346069,AS40389,ANON,ok,0.1576,2.0825,37.68,1,0
MM,http_header_field_manipulation,2022-01-13 09:24:35.575115,AS55374,COMM,ok,0.1809,1.482,84.78,1,0
DE,web_connectivity,2022-01-13 13:47:00.804160,AS13761,COMM,ok,0.2167,1.1912,208.81,1,0
TR,web_connectivity,2022-01-13 18:09:26.033206,AS29606,LGBT,anomaly,0.5526,0.6561,89.4,1,1
IN,dns_consistency,2022-01-13 22:31:51.262252,AS35011,COMT,ok,0.292,2.5011,211.98,1,0
RU,dns_consistency,2022-01-14 02:54:16.491298,AS25581,COMM,ok,0.1166,0.7405,5.0,1,0
AZ,web_connectivity,2022-01-14 07:16:41.720344,AS20553,ECON,confirmed,0.786,0.1162,5.0,1,1
ID,dns_consistency,2022-01-14 11:39:06.949389,AS13266,ANON,ok,0.0401,0.9521,110.06,1,0
DE,dns_consistency,2022-01-14 16:01:32.178435,AS28647,LGBT,ok,0.0509,0.165,132.63,1,0
CN,web_connectivity,2022-01-14 20:23:57.407481,AS34008,HUMR,anomaly,0.4816,0.4833,95.09,0,1
VN,http_header_field_manipulation,2022-01-15 00:46:22.636527,AS51222,HUMR,ok,0.1304,0.7678,91.92,1,0
DE,facebook_messenger,2022-01-15 05:08:47.865573,AS25581,LGBT,ok,0.1126,1.1202,181.5,1,0
CN,dns_consistency,2022-01-15 09:31:13.094618,AS54883,COMT,confirmed,0.4777,1.1482,334.42,0,1
RU,tcp_connect,2022-01-15 13:53:38.323664,AS32671,SRCH,anomaly,0.7924,1.0477,105.5,0,1
KZ,web_connectivity,2022-01-15 18:16:03.552710,AS47656,REL,ok,0.0308,1.0192,21.14,1,0
MM,tcp_connect,2022-01-15 22:38:28.781756,AS41369,HUMR,ok,0.0378,2.1074,70.46,1,0
BY,http_header_field_manipulation,2022-01-16 03:00:54.010802,AS2072,COMM,anomaly,0.6397,0.7249,146.29,1,1
DE,http_header_field_manipulation,2022-01-16 07:23:19.239847,AS19111,NEWS,confirmed,0.8345,0.1976,10.26,1,1
PK,telegram,2022-01-16 11:45:44.468893,AS8947,HUMR,anomaly,,3.3603,79.92,0,1
BR,web_connectivity,2022-01-16 16:08:09.697939,AS50368,REL,ok,0.1636,2.0746,128.89,1,1
IN,web_connectivity,2022-01-16 20:30:34.926985,AS7926,COMT,anomaly,0.595,1.3115,5.0,1,0
BY,web_connectivity,2022-01-17 00:53:00.156031,AS32635,REL,ok,0.0804,1.6278,23.71,1,0
FR,tcp_connect,2022-01-17 05:15:25.385077,AS13761,COMM,ok,0.0941,0.8027,122.25,1,0
KZ,whatsapp,2022-01-17 09:37:50.614122,AS22453,ECON,ok,0.0093,0.4661,33.17,0,0
PK,web_connectivity,2022-01-17 14:00:15.843168,AS4899,REL,failure,0.832,0.5804,19.66,0,0
PK,web_connectivity,2022-01-17 18:22:41.072214,AS8947,LGBT,confirmed,0.2898,0.3172,128.15,0,1
VN,http_header_field_manipulation,2022-01-17 22:45:06.301260,AS34008,POLR,ok,0.0478,0.0044,36.46,1,0
AZ,web_connectivity,2022-01-18 03:07:31.530306,AS58653,LGBT,ok,0.1474,1.6185,20.87,1,0
US,web_connectivity,2022-01-18 07:29:56.759351,AS58653,ANON,ok,0.0292,1.3358,,1,0
IR,web_connectivity,2022-01-18 11:52:21.988397,AS45204,ECON,confirmed,0.8057,0.0049,287.99,0,1
PK,dns_consistency,2022-01-18 16:14:47.217443,AS50319,LGBT,ok,0.0382,0.4378,67.43,1,0
UZ,dns_consistency,2022-01-18 20:37:12.446489,AS23883,LGBT,confirmed,0.8325,0.0146,15.55,0,1
TR,web_connectivity,2022-01-19 00:59:37.675535,AS42135,COMM,ok,0.1679,0.3721,,1,0
MM,dns_consistency,2022-01-19 05:22:02.904580,AS25884,LGBT,anomaly,0.4531,0.7775,136.2,1,1
CN,telegram,2022-01-19 09:44:28.133626,AS55961,LGBT,anomaly,0.4189,0.1697,341.15,1,1
TH,web_connectivity,2022-01-19 14:06:53.362672,AS53867,REL,ok,,0.4313,,1,0
VN,http_header_field_manipulation,2022-01-19 18:29:18.591718,AS28647,REL,ok,,0.0613,84.22,1,0
BR,http_header_field_manipulation,2022-01-19 22:51:43.820764,AS53867,ANON,ok,0.108,0.6248,157.2,1,0
PK,telegram,2022-01-20 03:14:09.049809,AS58569,REL,ok,0.0167,1.0554,226.44,1,0
MM,http_header_field_manipulation,2022-01-20 07:36:34.278855,AS29606,HUMR,anomaly,0.3641,1.2857,134.49,0,0
KZ,http_header_field_manipulation,2022-01-20 11:58:59.507901,AS10526,ANON,ok,0.1834,0.1445,218.89,0,1
KZ,tcp_connect,2022-01-20 16:21:24.736947,AS36237,COMM,ok,0.0734,1.1914,61.41,1,0
RU,web_connectivity,2022-01-20 20:43:49.965993,AS50319,COMT,anomaly,0.7396,1.297,,0,1
IR,dns_consistency,2022-01-21 01:06:15.195039,AS36237,ANON,confirmed,0.4177,0.0473,28.34,1,0
BY,dns_consistency,2022-01-21 05:28:40.424084,AS19698,REL,ok,0.0929,0.8796,59.49,1,0
TH,web_connectivity,2022-01-21 09:51:05.653130,AS10526,POLR,ok,0.0009,1.2489,5.0,1,0
TR,web_connectivity,2022-01-21 14:13:30.882176,AS36237,COMT,anomaly,0.5086,1.3447,141.42,1,1
RU,web_connectivity,2022-01-21 18:35:56.111222,AS44761,REL,confirmed,0.6055,0.4707,63.24,0,1
TR,web_connectivity,2022-01-21 22:58:21.340268,AS44761,COMM,ok,0.0851,0.8797,269.84,1,0
IN,tcp_connect,2022-01-22 03:20:46.569313,AS4263,ANON,ok,0.1302,1.0704,5.0,1,0
PK,telegram,2022-01-22 07:43:11.798359,AS29338,REL,anomaly,0.4941,0.1713,,0,1
RU,web_connectivity,2022-01-22 12:05:37.027405,AS20634,COMT,ok,0.1478,0.431,33.7,1,0
CN,web_connectivity,2022-01-22 16:28:02.256451,AS19111,COMT,anomaly,0.3625,0.1935,435.62,0,1
KZ,vanilla_tor,2022-01-22 20:50:27.485497,AS4899,SRCH,ok,0.2318,1.5677,420.86,1,0
IR,http_header_field_manipulation,2022-01-23 01:12:52.714542,AS55374,HUMR,ok,0.2435,0.2616,140.28,1,0
PK,whatsapp,2022-01-23 05:35:17.943588,AS55374,LGBT,ok,0.1337,0.8188,24.27,1,0
IN,web_connectivity,2022-01-23 09:57:43.172634,AS58842,NEWS,ok,0.3947,1.0893,63.84,1,0
VN,tcp_connect,2022-01-23 14:20:08.401680,AS25294,ECON,ok,0.0264,1.0167,461.9,1,0
RU,tcp_connect,2022-01-23 18:42:33.630726,AS7926,ANON,ok,0.0808,0.911,197.8,1,0
TR,web_connectivity,2022-01-23 23:04:58.859771,AS55374,ECON,ok,0.2196,0.3035,144.69,1,0
IN,web_connectivity,2022-01-24 03:27:24.088817,AS36237,NEWS,ok,0.0236,0.8224,345.69,1,0
AZ,web_connectivity,2022-01-24 07:49:49.317863,AS29338,SRCH,anomaly,0.4745,1.6346,140.23,0,1
BR,web_connectivity,2022-01-24 12:12:14.546909,AS18345,ECON,ok,0.062,0.8033,18.57,0,0
RU,facebook_messenger,2022-01-24 16:34:39.775955,AS8947,COMT,anomaly,0.4576,0.6052,81.37,0,1
MM,web_connectivity,2022-01-24 20:57:05.005001,AS8947,ECON,ok,0.0137,0.1851,21.9,0,0
RU,tcp_connect,2022-01-25 01:19:30.234046,AS15539,NEWS,ok,0.2961,0.0435,88.8,0,0
TH,tcp_connect,2022-01-25 05:41:55.463092,AS39530,SRCH,confirmed,0.7513,0.6201,386.45,1,0
CN,web_connectivity,2022-01-25 10:04:20.692138,AS13266,LGBT,anomaly,0.7475,0.3093,,0,1
DE,http_header_field_manipulation,2022-01-25 14:26:45.921184,AS58945,REL,ok,0.048,1.801,65.48,1,0
RU,web_connectivity,2022-01-25 18:49:11.150230,AS42135,COMT,anomaly,0.9226,0.6162,33.83,0,1
BR,web_connectivity,2022-01-25 23:11:36.379275,AS29338,LGBT,ok,0.011,1.0759,37.71,1,0
US,facebook_messenger,2022-01-26 03:34:01.608321,AS48048,HUMR,ok,0.0385,0.6432,19.93,1,0
IN,web_connectivity,2022-01-26 07:56:26.837367,AS28647,SRCH,ok,0.1434,1.7531,128.45,1,0
RU,web_connectivity,2022-01-26 12:18:52.066413,AS35011,POLR,confirmed,0.3471,0.0608,116.15,1,0
AZ,tcp_connect,2022-01-26 16:41:17.295459,AS24775,NEWS,ok,,0.0599,,1,0
MM,http_header_field_manipulation,2022-01-26 21:03:42.524504,AS49724,COMM,ok,0.2342,0.003,387.85,1,0
NG,http_header_field_manipulation,2022-01-27 01:26:07.753550,AS32635,LGBT,anomaly,0.8666,1.0595,91.33,1,1
BR,whatsapp,2022-01-27 05:48:32.982596,AS52965,REL,ok,0.0274,1.3175,58.38,1,0
VN,web_connectivity,2022-01-27 10:10:58.211642,AS47656,ECON,ok,0.0459,0.0058,5.0,1,0
IR,tcp_connect,2022-01-27 14:33:23.440688,AS9939,ECON,anomaly,0.5307,1.2931,87.81,1,1
TH,whatsapp,2022-01-27 18:55:48.669733,AS58945,POLR,ok,0.0005,1.0299,71.34,1,0
TR,web_connectivity,2022-01-27 23:18:13.898779,AS8640,ECON,anomaly,0.3479,0.9735,56.04,0,1
VN,dns_consistency,2022-01-28 03:40:39.127825,AS22453,ECON,ok,0.0794,0.293,183.33,0,1
NG,web_connectivity,2022-01-28 08:03:04.356871,AS48048,ECON,ok,0.2377,1.0636,20.17,1,0
NG,web_connectivity,2022-01-28 12:25:29.585917,AS15539,NEWS,ok,0.0162,0.0903,8.24,1,0
AZ,web_connectivity,2022-01-28 16:47:54.814962,AS50319,HUMR,ok,0.0741,1.4379,53.48,1,0
TR,http_header_field_manipulation,2022-01-28 21:10:20.044008,AS48048,LGBT,confirmed,0.8654,0.1917,331.51,0,1
PK,telegram,2022-01-29 01:32:45.273054,AS22453,COMM,ok,0.0991,0.8585,135.27,1,0
BR,http_header_field_manipulation,2022-01-29 05:55:10.502100,AS7926,COMT,ok,0.2796,0.1429,102.65,1,0
RU,whatsapp,2022-01-29 10:17:35.731146,AS44761,LGBT,ok,0.0228,0.1417,43.85,1,0
IN,web_connectivity,2022-01-29 14:40:00.960192,AS41369,POLR,ok,0.0465,1.8152,246.4,1,1
BY,web_connectivity,2022-01-29 19:02:26.189237,AS23883,ECON,ok,0.0549,1.4246,5.84,1,0
TR,facebook_messenger,2022-01-29 23:24:51.418283,AS2182,REL,ok,0.0634,0.9778,62.11,1,0
DE,whatsapp,2022-01-30 03:47:16.647329,AS8947,COMT,ok,0.0272,1.0487,117.75,1,0
DE,web_connectivity,2022-01-30 08:09:41.876375,AS39530,SRCH,ok,0.008,1.2151,112.81,1,0
NG,http_header_field_manipulation,2022-01-30 12:32:07.105421,AS6970,REL,ok,0.0967,1.261,38.23,1,0
KZ,web_connectivity,2022-01-30 16:54:32.334466,AS36237,COMT,ok,0.0775,0.3552,,1,0
IR,dns_consistency,2022-01-30 21:16:57.563512,AS51947,COMM,failure,0.819,0.077,285.43,0,0
US,whatsapp,2022-01-31 01:39:22.792558,AS9939,SRCH,ok,0.1511,0.3745,19.2,1,0
IN,tcp_connect,2022-01-31 06:01:48.021604,AS15631,ECON,ok,0.0168,0.2531,101.12,1,0
TR,web_connectivity,2022-01-31 10:24:13.250650,AS25581,POLR,ok,0.0217,0.0622,655.48,1,0
UZ,web_connectivity,2022-01-31 14:46:38.479695,AS28647,SRCH,ok,0.0652,1.2404,44.22,1,0
RU,web_connectivity,2022-01-31 19:09:03.708741,AS11241,LGBT,ok,0.2475,0.8428,8.92,1,0
IR,tcp_connect,2022-01-31 23:31:28.937787,AS8947,ANON,anomaly,0.5893,1.4949,79.98,0,0
EG,dns_consistency,2022-02-01 03:53:54.166833,AS2175,COMM,ok,0.1785,0.1494,50.63,1,0
CN,facebook_messenger,2022-02-01 08:16:19.395879,AS9939,COMM,confirmed,0.6901,0.0618,132.47,1,1
EG,tcp_connect,2022-02-01 12:38:44.624924,AS9939,REL,failure,0.7013,1.6163,349.26,1,1
BY,web_connectivity,2022-02-01 17:01:09.853970,AS51947,REL,ok,0.3566,0.0623,,1,0
CN,tcp_connect,2022-02-01 21:23:35.083016,AS17131,SRCH,ok,0.0915,1.1903,125.26,1,0
CN,dns_consistency,2022-02-02 01:46:00.312062,AS50319,SRCH,anomaly,0.2402,1.3344,25.51,0,1
IR,web_connectivity,2022-02-02 06:08:25.541108,AS24775,HUMR,anomaly,0.7583,0.3447,777.17,0,0
CN,web_connectivity,2022-02-02 10:30:50.770154,AS32671,COMT,anomaly,0.7582,1.4968,142.03,0,0
CN,facebook_messenger,2022-02-02 14:53:15.999199,AS2072,POLR,failure,0.6815,0.3945,54.5,1,0
AZ,dns_consistency,2022-02-02 19:15:41.228245,AS51947,NEWS,anomaly,0.5697,0.1691,5.0,0,0
PK,http_header_field_manipulation,2022-02-02 23:38:06.457291,AS51222,LGBT,failure,0.5799,0.3436,1253.98,1,1
RU,dns_consistency,2022-02-03 04:00:31.686337,AS49724,ANON,ok,0.2391,1.341,5.83,1,1
AZ,web_connectivity,2022-02-03 08:22:56.915383,AS24775,POLR,ok,0.0907,1.8565,154.11,1,0
RU,tcp_connect,2022-02-03 12:45:22.144428,AS52615,COMM,ok,0.0523,0.3292,178.44,1,0
VN,whatsapp,2022-02-03 17:07:47.373474,AS2182,ANON,ok,0.007,0.2693,681.43,1,0
IR,web_connectivity,2022-02-03 21:30:12.602520,AS44761,ECON,confirmed,0.4814,0.068,18.73,1,1
RU,web_connectivity,2022-02-04 01:52:37.831566,AS29606,ANON,confirmed,0.6755,0.1077,75.86,0,0
PK,dns_consistency,2022-02-04 06:15:03.060612,AS15061,SRCH,ok,0.1239,1.4755,181.88,1,0
DE,web_connectivity,2022-02-04 10:37:28.289657,AS58653,SRCH,ok,0.0896,0.3955,5.0,1,0
BR,tcp_connect,2022-02-04 14:59:53.518703,AS8947,REL,ok,0.1925,0.4183,168.65,1,0
IN,web_connectivity,2022-02-04 19:22:18.747749,AS2182,POLR,ok,0.0115,1.8607,82.35,1,0
RU,tcp_connect,2022-02-04 23:44:43.976795,AS2182,COMT,anomaly,0.5503,2.2413,24.25,1,0
EG,http_header_field_manipulation,2022-02-05 04:07:09.205841,AS25983,COMM,ok,0.3283,1.1692,57.76,1,1
BY,web_connectivity,2022-02-05 08:29:34.434886,AS25581,REL,ok,0.0225,0.6165,78.96,0,0
RU,web_connectivity,2022-02-05 12:51:59.663932,AS13266,ANON,confirmed,0.5238,0.4817,212.83,0,1
IN,web_connectivity,2022-02-05 17:14:24.892978,AS18345,COMM,ok,0.0852,1.0067,399.95,1,0
BR,web_connectivity,2022-02-05 21:36:50.122024,AS44761,COMT,ok,0.0528,0.0453,111.06,1,0
NG,http_header_field_manipulation,2022-02-06 01:59:15.351070,AS29338,REL,ok,0.0306,0.5617,5.0,1,1
BR,web_connectivity,2022-02-06 06:21:40.580116,AS44761,COMT,ok,0.0339,0.4216,75.56,1,0
VN,http_header_field_manipulation,2022-02-06 10:44:05.809161,AS4099,HUMR,ok,0.1826,0.3418,33.45,1,0
ID,dns_consistency,2022-02-06 15:06:31.038207,AS4099,SRCH,ok,0.2509,0.8437,130.9,1,0
IN,web_connectivity,2022-02-06 19:28:56.267253,AS55374,LGBT,ok,0.0196,1.1841,268.92,1,0
BR,dns_consistency,2022-02-06 23:51:21.496299,AS15539,LGBT,ok,0.2974,1.1326,87.39,1,0
VN,tcp_connect,2022-02-07 04:13:46.725345,AS55961,REL,ok,0.0136,0.0341,16.21,1,0
BR,web_connectivity,2022-02-07 08:36:11.954390,AS58653,COMM,ok,0.0345,0.3558,45.53,1,0
IN,http_header_field_manipulation,2022-02-07 12:58:37.183436,AS15539,SRCH,ok,0.0413,0.7658,164.19,1,0
NG,web_connectivity,2022-02-07 17:21:02.412482,AS35044,HUMR,ok,0.0829,0.2107,179.69,1,0
VN,web_connectivity,2022-02-07 21:43:27.641528,AS8947,NEWS,ok,0.0012,1.1165,63.95,0,0
BR,web_connectivity,2022-02-08 02:05:52.870574,AS42135,ECON,ok,0.1002,1.4204,83.28,1,0
CN,web_connectivity,2022-02-08 06:28:18.099619,AS9939,LGBT,anomaly,0.5568,2.7765,92.64,0,0
US,tcp_connect,2022-02-08 10:50:43.328665,AS17131,REL,anomaly,0.8531,0.3091,91.36,0,0
KZ,dns_consistency,2022-02-08 15:13:08.557711,AS54883,LGBT,ok,0.0234,0.2936,5.0,1,0
AZ,web_connectivity,2022-02-08 19:35:33.786757,AS22453,HUMR,ok,0.0162,0.7978,183.09,1,0
PK,http_header_field_manipulation,2022-02-08 23:57:59.015803,AS50368,COMT,ok,0.2826,0.7438,52.28,1,0
VN,dns_consistency,2022-02-09 04:20:24.244848,AS15539,SRCH,ok,0.0983,0.2847,41.65,1,0
IR,web_connectivity,2022-02-09 08:42:49.473894,AS8947,NEWS,ok,0.3034,0.2081,68.19,1,0
DE,tcp_connect,2022-02-09 13:05:14.702940,AS52965,LGBT,ok,0.0316,0.4197,256.0,0,1
IR,web_connectivity,2022-02-09 17:27:39.931986,AS42772,ECON,ok,0.1366,1.0289,38.73,1,0
MM,telegram,2022-02-09 21:50:05.161032,AS58569,ANON,ok,0.093,0.1958,147.93,1,1
TR,web_connectivity,2022-02-10 02:12:30.390078,AS44761,NEWS,ok,,0.0415,68.34,1,0
PK,dns_consistency,2022-02-10 06:34:55.619123,AS2175,HUMR,ok,0.3469,0.5635,54.68,1,0
MM,telegram,2022-02-10 10:57:20.848169,AS26441,REL,failure,0.358,1.2348,259.55,0,1
KZ,tcp_connect,2022-02-10 15:19:46.077215,AS24775,NEWS,ok,0.0007,0.1639,322.58,1,0
PK,web_connectivity,2022-02-10 19:42:11.306261,AS49724,COMT,failure,0.7719,0.5938,1355.88,1,0
BR,dns_consistency,2022-02-11 00:04:36.535307,AS23227,REL,ok,0.106,0.8311,58.2,1,0
BR,web_connectivity,2022-02-11 04:27:01.764352,AS40389,HUMR,ok,0.0232,0.3158,76.83,1,0
TR,dns_consistency,2022-02-11 08:49:26.993398,AS17131,HUMR,confirmed,0.4188,0.0267,118.89,0,1
IR,tcp_connect,2022-02-11 13:11:52.222444,AS11241,COMM,anomaly,0.3387,0.1795,87.17,1,0
IR,dns_consistency,2022-02-11 17:34:17.451490,AS13266,ECON,anomaly,0.7802,0.8418,244.81,1,1
IR,web_connectivity,2022-02-11 21:56:42.680536,AS2182,REL,ok,0.0345,0.6768,84.69,1,0
TH,dns_consistency,2022-02-12 02:19:07.909581,AS41085,ECON,ok,0.0513,2.3528,,1,0
IR,web_connectivity,2022-02-12 06:41:33.138627,AS2072,REL,failure,0.9848,0.5134,36.78,1,0
EG,web_connectivity,2022-02-12 11:03:58.367673,AS58569,POLR,ok,0.025,0.3036,144.29,1,0
IR,dns_consistency,2022-02-12 15:26:23.596719,AS19698,COMM,failure,0.5836,0.7024,393.18,0,1
FR,http_header_field_manipulation,2022-02-12 19:48:48.825765,AS55961,SRCH,ok,0.0249,0.2324,5.0,1,0
IN,dns_consistency,2022-02-13 00:11:14.054810,AS6146,COMT,ok,0.0852,0.0702,75.62,1,0
IN,web_connectivity,2022-02-13 04:33:39.283856,AS29606,COMT,ok,0.1129,0.7814,53.43,1,0
IN,telegram,2022-02-13 08:56:04.512902,AS46987,COMT,ok,0.0545,0.8611,42.82,1,0
MM,http_header_field_manipulation,2022-02-13 13:18:29.741948,AS52965,COMT,ok,0.0154,0.571,130.14,1,0
CN,web_connectivity,2022-02-13 17:40:54.970994,AS18345,ECON,confirmed,,0.4146,76.53,0,1
BY,facebook_messenger,2022-02-13 22:03:20.200040,AS42772,SRCH,ok,0.2173,0.4043,32.17,1,0
VN,whatsapp,2022-02-14 02:25:45.429085,AS22453,REL,anomaly,0.6402,0.757,13.24,0,1
CN,web_connectivity,2022-02-14 06:48:10.658131,AS15061,ANON,confirmed,0.3458,0.5647,,0,0
